Species,NewChrom,ChromArm,MbDNA_Female,Female_UR,Female_Rep,Female_Unrep,MbDNA_Male,Male_UR,Male_Rep,Male_Unrep,SexDiff,SexDiffRep,SexDiffUnrep,Chromosomes,Groups,Sex System,FemaleTree,MaleTree,GroupFemale,GroupMale,Montium,Female.Chrom.Tree,Female.Arm.Tree
Chymomyza_amoena,4,6,395.2,NA,NA,NA,384.8,NA,NA,NA,20.8,NA,NA,4,Outgroup,XY,Other,Other,OutgroupOther,OutgroupOther,Other,Other,6
Chymomyza_procnemis,4,6,298.2,NA,NA,NA,262.4,NA,NA,NA,71.6,NA,NA,4,Outgroup,X0,Other,Other,OutgroupOther,OutgroupOther,Other,Other,6
Drosophila_arizonae,NA,NA,175.4,0.962,168.7,6.7,173.9,NA,NA,NA,3,NA,NA,NA,Drosophila,XY,Female,Other,DrosophilaFemale,DrosophilaOther,DrosophilaOther,NA,NA
Drosophila_mojavensis,6,6,165.6,0.965,159.8,5.8,168.7,NA,NA,NA,-6.1,NA,NA,6,Drosophila,XY,Female,Other,DrosophilaFemale,DrosophilaOther,DrosophilaOther,6,6
Drosophila_mayaguana,NA,NA,170,0.987,167.8,2.2,161.7,0.945,152.8,8.9,16.6,30,-13.367,NA,Drosophila,NA,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,NA,NA
Drosophila_navojoa,NA,NA,170,0.964,163.9,6.1,156.2,0.963,150.4,5.8,27.6,26.9,0.6812,NA,Drosophila,NA,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,NA,NA
Drosophila_mulleri,6,6,168.3,0.927,156,12.3,158.9,0.905,143.8,15.1,18.8,24.4,-5.6192,6,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,6,6
Drosophila_buzzatii,6,6,179.9,0.984,177,2.9,169,0.971,164.1,4.9,21.8,25.8,-4.0452,6,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,6,6
Drosophila_mercatorum,5,6,171.8,0.921,158.2,13.6,159.1,NA,NA,NA,25.5,NA,NA,5,Drosophila,XY,Female,Other,DrosophilaFemale,DrosophilaOther,DrosophilaOther,5,6
Drosophila_repleta,6,6,187.5,0.829,155.4,32.1,165.5,0.957,158.4,7.1,44,-5.9,49.892,6,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,6,6
Drosophila_limensis,6,6,203.1,0.927,188.3,14.8,192.9,0.893,172.3,20.6,20.4,32,-11.628,6,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,6,6
Drosophila_anceps,6,6,201.8,0.789,159.2,42.6,207.5,0.737,152.9,54.6,-11.4,12.6,-23.9854,6,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,6,6
Drosophila_eohydei,6,6,231,0.625,144.4,86.6,218.7,0.608,133,85.7,24.6,22.8,1.7892,6,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,6,6
Drosophila_hydei,6,7,207.4,0.789,163.6,43.8,199.5,NA,NA,NA,15.8,NA,NA,6,Drosophila,XY,Female,Other,DrosophilaFemale,DrosophilaOther,DrosophilaOther,6,7
Drosophila_bromeliae,4,6,145.2,0.992,144,1.2,137.5,0.88,121,16.5,7.7,46.1,-30.6768,4,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,4,6
Drosophila_acanthoptera,5,8,155.8,0.829,129.2,26.6,145.6,0.747,108.8,36.8,20.4,40.8,-20.39,5,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,5,8
Drosophila_pachea,5,8,176.5,0.694,122.5,54,148.3,0.666,98.8,49.5,56.4,47.4,8.9536,4,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,5,8
Drosophila_nannoptera,5,10,245.9,0.494,121.5,124.4,250.1,0.412,103,147.1,-8.4,36.9,-45.2668,5,Drosophila,XY,Female,Male,DrosophilaFemale,DrosophilaMale,DrosophilaOther,5,10
